place_name,description,state,view,from_date_1,to_date_1,from_date,to_date,price,original_price,price_str,rating,no_of_rates
Apartment in Neptune Township,Two Bedroom || 2.5 Blocks To The Beach,Nevada,178,19469,19474,4/22/2023,4/27/2023,160,160,$160 night$160 per night,4.8,146
Home in Ewing Township,Cozy 2-bedroom home on quiet dead end street,Nevada,288,19471,19476,4/24/2023,4/29/2023,100,100,$100 night$100 per night,4.8,110
Home in Belmar,"Cheerful Home, 3B, 3B, 2 Blocks to the Ocean",Nevada,268,19484,19489,5/7/2023,5/12/2023,250,300,"$300 $250 night$250 per night, originally $300",5,23
Home in Point Pleasant Beach,Walk To Beach From Stylish Home,Nevada,541,19470,19475,4/23/2023,4/28/2023,263,343,"$343 $263 night$263 per night, originally $343",4.9,11
Home in Red Bank,Freshly renovated 1 mile from Downtown Redbank,Nevada,120,19477,19482,4/30/2023,5/5/2023,199,199,$199 night$199 per night,4.9,32
Home in Seaside Heights,Next to Seaside Boardwalk! - Spacious 3 Bedroom,Nevada,290,19470,19475,4/23/2023,4/28/2023,165,165,$165 night$165 per night,4.9,30
Bungalow in Belmar,Belmar MelaMare ½ blk beach 2BR/1BA Sunday CheckIn,Nevada,116,19472,19477,4/25/2023,4/30/2023,266,266,$266 night$266 per night,5,38
Apartment in Seaside Heights,"Ocean Block apartment unit B,steps away from beach",Nevada,189,19477,19482,4/30/2023,5/5/2023,132,132,$132 night$132 per night,4.8,27
Home in New Hope,Charming Victorian in the heart of New Hope,Nevada,114,19479,19484,5/2/2023,5/7/2023,257,257,$257 night$257 per night,4.9,166
Home in Atlantic Highlands,Renovated Modern Farmhouse Near Woods and Beach,Nevada,123,19480,19485,5/3/2023,5/8/2023,399,399,$399 night$399 per night,5,15
Home in Spring Lake,Entire House in Spring Lake Heights,Nevada,120,19490,19495,5/13/2023,5/18/2023,173,173,$173 night$173 per night,4.9,63
Condo in Beach Haven,Good Times & Tan Lines @ the Victoria Rose,Nevada,133,19466,19473,4/19/2023,4/26/2023,199,199,$199 night$199 per night,4.8,22
Home in Ocean Township,House on the Lagoon,Nevada,103,19468,19473,4/21/2023,4/26/2023,420,420,$420 night$420 per night,5,33
Condo in Seaside Heights,☀️wow🏖Modern Boho Free beach badges/ Free parking!,Nevada,185,19718,19358,12/27/2023,1/1/2023,169,199,"$199 $169 night$169 per night, originally $199",4.8,52
Vacation home in Seaside Park,"Amazing 4 bedroom stay, 4 houses from the beach!",Nevada,189,19470,19475,4/23/2023,4/28/2023,200,275,"$275 $200 night$200 per night, originally $275",4.9,10
Vacation home in Neptune Township,Boutique Ocean Grove & Asbury Park Sea View Gem!!,Nevada,117,19466,19471,4/19/2023,4/24/2023,349,500,"$500 $349 night$349 per night, originally $500",4.9,30
Vacation home in Manasquan,Sunny Beach House with Ocean View,Nevada,123,19570,19575,8/1/2023,8/6/2023,704,704,$704 night$704 per night,4.9,15
Home in Neptune City,Brand New Bradley Park Beach House!,Nevada,143,19488,19493,5/11/2023,5/16/2023,332,332,$332 night$332 per night,4.8,6
Home in Asbury Park,Stunning Beach Retreat - Entire Home,Nevada,122,19613,19618,9/13/2023,9/18/2023,NA,NA,"$1,370 night$1,370 per night",5,17
Townhouse in Seaside Heights,3BR 2BA One-Block Walk to Seaside Hgts Boardwalk,Nevada,165,19476,19481,4/29/2023,5/4/2023,225,225,$225 night$225 per night,4.8,110
Home in Surf City,"Cozy beach house, steps from the bay and ocean",Nevada,116,19477,19482,4/30/2023,5/5/2023,240,240,$240 night$240 per night,4.9,11
Place to stay in Lambertville,Quaint Cottage in Lambertville,Nevada,140,19471,19476,4/24/2023,4/29/2023,179,179,$179 night$179 per night,4.9,329
Townhouse in Beach Haven,Loft Style 1 Bedroom In The Heart of Beach Haven!,Nevada,157,19489,19494,5/12/2023,5/17/2023,345,345,$345 night$345 per night,4.9,32
Home in Lavallette,The Royal Treat-Simply Stunning 5 Star Experience,Nevada,169,19466,19471,4/19/2023,4/24/2023,NA,0.5,"$1,250 $1,050 night$1,050 per night, originally $1,250",4.9,62
Home in Seaside Heights,Chic Beach House with Roof Terrace,Nevada,131,19471,19476,4/24/2023,4/29/2023,404,404,$404 night$404 per night,4.9,116
Home in Barnegat Light,2 Night Minimum LBI Barnegat Light NJ 2 BR 1 B,New-Hampshire,257,19470,19477,4/23/2023,4/30/2023,140,178,"$178 $140 night$140 per night, originally $178",4.9,205
Home in Berlin,100% Private Fits 1 to 9 Guests,New-Hampshire,178,19470,19475,4/23/2023,4/28/2023,69,99,"$99 $69 night$69 per night, originally $99",4.8,41
Private room in Seaside Heights,Ortley Beach,New-Hampshire,234,19484,19490,5/7/2023,5/13/2023,52,52,$52 night$52 per night,4.8,321
Private room in Beachwood,"Almost ""down by the river side"" (green room)",New-Hampshire,134,19475,19482,4/28/2023,5/5/2023,68,68,$68 night$68 per night,4.9,181
Cottage in Lake Como,Sea Glass & Lavender Cottage,New-Hampshire,236,19485,19491,5/8/2023,5/14/2023,103,142,"$142 $103 night$103 per night, originally $142",4.9,70
Farm stay in Pemberton,Private Apartment. Welcome to the farm!,New-Hampshire,131,19477,19482,4/30/2023,5/5/2023,129,129,$129 night$129 per night,4.9,205
Guesthouse in Lawrence Township,Adorable studio cottage near Princeton,New-Hampshire,156,19476,19481,4/29/2023,5/4/2023,116,116,$116 night$116 per night,4.8,93
Private room in Asbury Park,Large private bedroom in Asbury Park,New-Hampshire,216,19470,19475,4/23/2023,4/28/2023,60,60,$60 night$60 per night,4.9,61
Home in Hammonton,Sweetwater House on the Mullica River,New-Hampshire,139,19466,19471,4/19/2023,4/24/2023,398,398,$398 night$398 per night,4.9,21
Condo in Hopewell,Private apartment in 1890’s chocolate factory.,New-Hampshire,153,19484,19489,5/7/2023,5/12/2023,175,175,$175 night$175 per night,4.8,82
Private room in New Brunswick,Rm #3 Lg Private Rm by Rutgers+NYC + Jersey Shore,New-Hampshire,146,19474,19479,4/27/2023,5/2/2023,55,55,$55 night$55 per night,4.9,665
Home in Berkeley Township,Sunsets that never quit!,New-Hampshire,309,19470,19475,4/23/2023,4/28/2023,195,250,"$250 $195 night$195 per night, originally $250",4.9,155
Cabin in Medford,Medford Lake! Pine Barrens Lakefront Beach Resort!,New-Hampshire,234,19470,19475,4/23/2023,4/28/2023,355,355,$355 night$355 per night,5,20
Vacation home in Asbury Park,Brand new vacation home near downtown,New-Hampshire,227,19470,19475,4/23/2023,4/28/2023,164,164,$164 night$164 per night,4.9,42
Home in Seaside Heights,Comfortable Trendy seaside home,New-Hampshire,701,19470,19475,4/23/2023,4/28/2023,120,120,$120 night$120 per night,5,14
Home in Keansburg,Welcome to Paradise!!! The perfect beach cottage!,New-Hampshire,166,19470,19475,4/23/2023,4/28/2023,247,247,$247 night$247 per night,4.8,29
Home in Little Egg Harbor Township,Blue Lagoon Retreat w/ Dock & Water Toys!,New-Hampshire,124,19470,19475,4/23/2023,4/28/2023,159,179,"$179 $159 night$159 per night, originally $179",4.9,46
Guesthouse in Seaside Park,Unique Spanish Villa (no loud parties),New-Hampshire,270,19470,19475,4/23/2023,4/28/2023,199,199,$199 night$199 per night,4.9,462
Home in Neptune Township,The Stockton - Victorian Ocean Grove near Asbury,New-Hampshire,237,19474,19480,4/27/2023,5/3/2023,190,190,BZ$380 BZD nightBZ$380 BZD per night,4.9,272
Condo in Matawan,"1 Bedroom,1 Bath,1 Full Kit,1 Liv Rm Furnished 311",New-Hampshire,214,19484,19489,5/7/2023,5/12/2023,117,117,BZ$234 BZD nightBZ$234 BZD per night,4.8,85
Home in Ewing Township,Cozy 2-bedroom home on quiet dead end street,New-Hampshire,288,19471,19476,4/24/2023,4/29/2023,117.5,117.5,BZ$235 BZD nightBZ$235 BZD per night,4.8,110
Cottage in Lavallette,Cute Cottage,New-Hampshire,312,19491,19496,5/14/2023,5/19/2023,140,140,"BZ$356 BZD BZ$280 BZD nightBZ$280 BZD per night, originally BZ$356 BZD",4.9,91
Bungalow in Lavallette,Ocean Beach III Shore Bungalow,New-Hampshire,113,19466,19471,4/19/2023,4/24/2023,177.5,177.5,"BZ$456 BZD BZ$355 BZD nightBZ$355 BZD per night, originally BZ$456 BZD",4.9,53
Condo in Seaside Park,Cozy Seaside Park Condo,New-Hampshire,151,19471,19476,4/24/2023,4/29/2023,102.5,102.5,"BZ$235 BZD BZ$205 BZD nightBZ$205 BZD per night, originally BZ$235 BZD",4.9,29
Apartment in Wall Township,"Beautiful Apartment, near Marina & Beach in Belmar",New-Hampshire,124,19468,19473,4/21/2023,4/26/2023,180,180,BZ$360 BZD nightBZ$360 BZD per night,4.8,43
Condo in Long Beach Township,Cozy LBI Studio close to the beach.,New-Hampshire,211,19470,19475,4/23/2023,4/28/2023,128,128,BZ$256 BZD nightBZ$256 BZD per night,4.9,412
Apartment in Neptune Township,Two Bedroom || 2.5 Blocks To The Beach,New-Hampshire,178,19469,19474,4/22/2023,4/27/2023,187.5,187.5,BZ$375 BZD nightBZ$375 BZD per night,4.8,146
Apartment in Point Pleasant Beach,Close to beach,New-Hampshire,125,19483,19490,5/6/2023,5/13/2023,167.5,167.5,BZ$335 BZD nightBZ$335 BZD per night,4.8,309
Home in Red Bank,Freshly renovated 1 mile from Downtown Redbank,New-Hampshire,120,19477,19482,4/30/2023,5/5/2023,232.5,232.5,BZ$465 BZD nightBZ$465 BZD per night,4.9,32
Apartment in Asbury Park,"Asbury Park Gem #3, Sleeps up to 4 in 1bd apt.!",New-Hampshire,235,19492,19497,5/15/2023,5/20/2023,180.5,180.5,BZ$361 BZD nightBZ$361 BZD per night,4.9,81
Guesthouse in Highlands,The Bungalow at Sandy Hook House,New-Hampshire,173,19491,19497,5/14/2023,5/20/2023,172.5,172.5,BZ$345 BZD nightBZ$345 BZD per night,4.8,14
Private room in Manasquan,The Sea Loft,New-Hampshire,321,19506,19511,5/29/2023,6/3/2023,147,147,$147 night$147 per night,4.9,63
Bungalow in Belmar,Belmar MelaMare ½ blk beach 2BR/1BA Sunday CheckIn,New-Hampshire,116,19472,19477,4/25/2023,4/30/2023,266,266,$266 night$266 per night,5,38
Home in New Hope,Charming Victorian in the heart of New Hope,New-Hampshire,114,19479,19484,5/2/2023,5/7/2023,257,257,$257 night$257 per night,4.9,166
Condo in Seaside Heights,5-minute walk to beach! Seaside Heights 2 bedroom!,New-Hampshire,194,19470,19475,4/23/2023,4/28/2023,135,178,"$178 $135 night$135 per night, originally $178",4.9,36
Home in Spring Lake,Entire House in Spring Lake Heights,New-Hampshire,120,19490,19495,5/13/2023,5/18/2023,173,173,$173 night$173 per night,4.9,63
Home in Sea Bright,Wake up w/ OCEAN Views in SEABRIGHT!!!,New-Hampshire,134,19466,19472,4/19/2023,4/25/2023,199,249,"$249 $199 night$199 per night, originally $249",4.9,27
Townhouse in Beach Haven,Loft Style 1 Bedroom In The Heart of Beach Haven!,New-Hampshire,157,19489,19494,5/12/2023,5/17/2023,345,345,$345 night$345 per night,4.9,32
Home in Long Branch,New house! 3 blocks to the beach!,New-Hampshire,600,19498,19503,5/21/2023,5/26/2023,420,420,$420 night$420 per night,5,19
Home in Lavallette,Shore Haven Walk to beach and bay,New-Hampshire,120,19481,19486,5/4/2023,5/9/2023,260,260,$260 night$260 per night,5,87
Guesthouse in Seaside Park,Unique Spanish Villa (no loud parties),New-Hampshire,270,19470,19475,4/23/2023,4/28/2023,199,199,$199 night$199 per night,4.9,462
Home in Keansburg,Welcome to Paradise!!! The perfect beach cottage!,New-Hampshire,166,19470,19475,4/23/2023,4/28/2023,247,247,$247 night$247 per night,4.8,29
Home in Belmar,"Cheerful Home, 3B, 3B, 2 Blocks to the Ocean",New-Hampshire,268,19484,19489,5/7/2023,5/12/2023,250,300,"$300 $250 night$250 per night, originally $300",5,23
Apartment in Seaside Heights,"Ocean Block apartment unit B,steps away from beach",New-Hampshire,189,19477,19482,4/30/2023,5/5/2023,132,132,$132 night$132 per night,4.8,27
Home in Ocean Gate,"Modern Beach Town Home, Heated Pool Hot & Tub",New-Hampshire,262,19466,19471,4/19/2023,4/24/2023,490,490,$490 night$490 per night,4.9,48
Home in Long Beach Township,Cabin by the Sea w/ parking in Beach Haven,New-Hampshire,173,19470,19475,4/23/2023,4/28/2023,250,250,$250 night$250 per night,4.9,55
Home in Point Pleasant Beach,Walk To Beach From Stylish Home,New-Hampshire,541,19470,19475,4/23/2023,4/28/2023,263,343,"$343 $263 night$263 per night, originally $343",4.9,11
Home in Ocean Township,House on the Lagoon,New-Hampshire,103,19468,19473,4/21/2023,4/26/2023,420,420,$420 night$420 per night,5,33
Bungalow in Point Pleasant Beach,Pt. Pleasant Bch bungalow 60 steps from Beach,New-Hampshire,188,19466,19471,4/19/2023,4/24/2023,225,265,"$265 $225 night$225 per night, originally $265",4.9,33
Vacation home in Seaside Heights,Oceanview Beachfront Sleeps 12 w/ Hot Tub,New-Hampshire,357,19466,19471,4/19/2023,4/24/2023,535,599,"$599 $535 night$535 per night, originally $599",4.9,22
Home in Princeton,"Downtown Princeton-Clean, updated, beautiful home-",New-Hampshire,115,19512,19517,6/4/2023,6/9/2023,250,250,$250 night$250 per night,4.8,49
Cottage in Ship Bottom,Adorable 2 Bedroom Bayfront Cottage,New-Hampshire,137,19471,19477,4/24/2023,4/30/2023,245,245,$245 night$245 per night,4.8,9
Home in Stafford Township,The Mullet House-Business in front…party in back !,New-Hampshire,151,19469,19474,4/22/2023,4/27/2023,300,300,$300 night$300 per night,5,18
Tiny home in Belmar,Best Couples Retreat Greatest Location of Belmar,New-Hampshire,183,19477,19483,4/30/2023,5/6/2023,225,225,$225 night$225 per night,4.8,135
Cottage in Seaside Heights,"Cute cottage 300 ft to beach, off-street parking",New-Hampshire,222,19466,19471,4/19/2023,4/24/2023,270,270,$270 night$270 per night,4.9,12
Vacation home in Manasquan,Sunny Beach House with Ocean View,New-Hampshire,123,19570,19575,8/1/2023,8/6/2023,704,704,$704 night$704 per night,4.9,15
Home in Neptune City,Brand New Bradley Park Beach House!,New-Hampshire,143,19488,19493,5/11/2023,5/16/2023,332,332,$332 night$332 per night,4.8,6
Home in Belmar,Belmar Jersey Shore Vacation Getaway,New-Hampshire,176,19477,19482,4/30/2023,5/5/2023,309,309,$309 night$309 per night,4.8,37
Cottage in Seaside Park,"Beach Getaway - 3BR,A/C,1 Block to Beach 6 badges",New-Hampshire,207,19506,19511,5/29/2023,6/3/2023,421,421,$421 night$421 per night,4.8,145
Vacation home in Neptune Township,Boutique Ocean Grove & Asbury Park Sea View Gem!!,New-Hampshire,117,19466,19471,4/19/2023,4/24/2023,349,500,"$500 $349 night$349 per night, originally $500",4.9,30
Place to stay in Lambertville,Quaint Cottage in Lambertville,New-Hampshire,140,19471,19476,4/24/2023,4/29/2023,179,179,$179 night$179 per night,4.9,329
Home in Surf City,"Cozy beach house, steps from the bay and ocean",New-Hampshire,116,19477,19482,4/30/2023,5/5/2023,240,240,$240 night$240 per night,4.9,11
Home in Lambertville,"Charming Vintage House, Great Location w/Parking",New-Hampshire,171,19491,19496,5/14/2023,5/19/2023,301,301,$301 night$301 per night,4.9,97
Townhouse in Seaside Heights,3BR 2BA One-Block Walk to Seaside Hgts Boardwalk,New-Hampshire,165,19476,19481,4/29/2023,5/4/2023,225,225,$225 night$225 per night,4.8,110
Vacation home in Manasquan,Sunny Beach House with Ocean View,New-Hampshire,123,19570,19575,8/1/2023,8/6/2023,704,704,$704 night$704 per night,4.9,15
Condo in Long Beach Township,Cozy LBI Studio close to the beach.,New-Jersey,211,19470,19475,4/23/2023,4/28/2023,109,109,$109 night$109 per night,4.9,412
Private room in Manasquan,The Sea Loft,New-Jersey,321,19506,19511,5/29/2023,6/3/2023,147,147,$147 night$147 per night,4.9,63
Home in Red Bank,Quiet 2 bedroom with resort setting,New-Jersey,140,19471,19476,4/24/2023,4/29/2023,150,150,$150 night$150 per night,4.9,43
Bungalow in Lavallette,Ocean Beach III Shore Bungalow,New-Jersey,113,19466,19471,4/19/2023,4/24/2023,150,200,"$200 $150 night$150 per night, originally $200",4.9,53
Cottage in Lavallette,Cute Cottage,New-Jersey,312,19491,19496,5/14/2023,5/19/2023,118,155,"$155 $118 night$118 per night, originally $155",4.9,91
Home in Monroe Township,Experience the perfect blend of nature & comfort!,New-Jersey,108,19490,19495,5/13/2023,5/18/2023,117,117,$117 night$117 per night,4.9,68
Home in Neptune Township,The Stockton - Victorian Ocean Grove near Asbury,New-Jersey,237,19474,19480,4/27/2023,5/3/2023,163,163,$163 night$163 per night,4.9,272
Vacation home in Asbury Park,Brand new vacation home near downtown,New-Jersey,227,19470,19475,4/23/2023,4/28/2023,164,164,$164 night$164 per night,4.9,42
Home in Keansburg,Welcome to Paradise!!! The perfect beach cottage!,New-Jersey,166,19470,19475,4/23/2023,4/28/2023,247,247,$247 night$247 per night,4.8,29
Cottage in Middletown,Cozy Cottage Retreat on North Jersey Shore,New-Jersey,104,19472,19478,4/25/2023,5/1/2023,149,149,$149 night$149 per night,4.9,90
Apartment in Asbury Park,"Asbury Park Gem #3, Sleeps up to 4 in 1bd apt.!",New-Jersey,235,19492,19497,5/15/2023,5/20/2023,154,154,$154 night$154 per night,4.9,81
Guesthouse in Seaside Park,Unique Spanish Villa (no loud parties),New-Jersey,270,19470,19475,4/23/2023,4/28/2023,175,199,"$199 $175 night$175 per night, originally $199",4.9,462
Condo in Matawan,"1 Bedroom,1 Bath,1 Full Kit,1 Liv Rm Furnished 311",New-Jersey,214,19484,19489,5/7/2023,5/12/2023,99,99,$99 night$99 per night,4.8,85
Apartment in Wall Township,"Beautiful Apartment, near Marina & Beach in Belmar",New-Jersey,124,19468,19473,4/21/2023,4/26/2023,153,153,$153 night$153 per night,4.8,43
Apartment in Point Pleasant Beach,Close to beach,New-Jersey,125,19483,19490,5/6/2023,5/13/2023,144,144,$144 night$144 per night,4.8,309
Home in Ewing Township,Cozy 2-bedroom home on quiet dead end street,New-Jersey,288,19471,19476,4/24/2023,4/29/2023,100,100,$100 night$100 per night,4.8,110
Home in Little Egg Harbor Township,"M & M Waterfront Rental in Mystic Island, N.J.",New-Jersey,119,19467,19472,4/20/2023,4/25/2023,225,225,$225 night$225 per night,5,88
Home in Princeton,Einstein Lounge in Downtown-2 BR w/Loft & Parking,New-Jersey,106,19476,19481,4/29/2023,5/4/2023,265,265,$265 night$265 per night,4.9,142
Condo in Seaside Heights,Bayside bungalow just a few blocks from the beach,New-Jersey,128,19470,19475,4/23/2023,4/28/2023,154,154,$154 night$154 per night,4.9,71
Home in Berkeley Township,"Walk to Bay Beach, Quiet Dirt Road Fireplace & Pit",New-Jersey,213,19478,19483,5/1/2023,5/6/2023,178,222,"$222 $178 night$178 per night, originally $222",4.9,348
Apartment in Neptune Township,Two Bedroom || 2.5 Blocks To The Beach,New-Jersey,178,19469,19474,4/22/2023,4/27/2023,160,160,$160 night$160 per night,4.8,146
Home in Lavallette,Shore Haven Walk to beach and bay,New-Jersey,120,19481,19486,5/4/2023,5/9/2023,260,260,$260 night$260 per night,5,87
Home in Seaside Heights,Steps Away from Seaside Heights Boardwalk!,New-Jersey,281,19470,19475,4/23/2023,4/28/2023,140,140,$140 night$140 per night,4.8,111
Condo in Beach Haven,Good Times & Tan Lines @ the Victoria Rose,New-Jersey,133,19466,19473,4/19/2023,4/26/2023,199,199,$199 night$199 per night,4.8,22
Apartment in Hammonton,Casa de Sweetwater- 3 bedroom- Waterfront,New-Jersey,105,19467,19472,4/20/2023,4/25/2023,360,360,$360 night$360 per night,5,39
Home in Long Branch,New house! 3 blocks to the beach!,New-Jersey,600,19498,19503,5/21/2023,5/26/2023,420,420,$420 night$420 per night,5,19
Home in Belmar,"Cheerful Home, 3B, 3B, 2 Blocks to the Ocean",New-Jersey,268,19484,19489,5/7/2023,5/12/2023,250,300,"$300 $250 night$250 per night, originally $300",5,23
Home in Point Pleasant Beach,Walk To Beach From Stylish Home,New-Jersey,541,19470,19475,4/23/2023,4/28/2023,263,343,"$343 $263 night$263 per night, originally $343",4.9,11
Home in Long Branch,*HIDDEN GEM* Renovated Beach House-walk to beach,New-Jersey,200,19518,19523,6/10/2023,6/15/2023,600,600,$600 night$600 per night,5,8
Apartment in Seaside Heights,"Ocean Block apartment unit B,steps away from beach",New-Jersey,189,19477,19482,4/30/2023,5/5/2023,132,132,$132 night$132 per night,4.8,27
Home in Atlantic Highlands,Renovated Modern Farmhouse Near Woods and Beach,New-Jersey,123,19480,19485,5/3/2023,5/8/2023,399,399,$399 night$399 per night,5,15
Tiny home in Belmar,Best Couples Retreat Greatest Location of Belmar,New-Jersey,183,19477,19483,4/30/2023,5/6/2023,225,225,$225 night$225 per night,4.8,135
Home in Neptune City,Brand New Bradley Park Beach House!,New-Jersey,143,19488,19493,5/11/2023,5/16/2023,332,332,$332 night$332 per night,4.8,6
Apartment in Highlands,NJ Shore/Waterview/Beach Escape/Sandy Hook,New-Jersey,149,19495,19500,5/18/2023,5/23/2023,215,215,$215 night$215 per night,4.9,82
Home in Seaside Heights,Next to Seaside Boardwalk! - Spacious 3 Bedroom,New-Jersey,290,19470,19475,4/23/2023,4/28/2023,165,165,$165 night$165 per night,4.9,30
Cottage in Seaside Park,"Beach Getaway - 3BR,A/C,1 Block to Beach 6 badges",New-Jersey,207,19506,19511,5/29/2023,6/3/2023,421,421,$421 night$421 per night,4.8,145
Bungalow in Point Pleasant Beach,Pt. Pleasant Bch bungalow 60 steps from Beach,New-Jersey,188,19466,19471,4/19/2023,4/24/2023,225,265,"$265 $225 night$225 per night, originally $265",4.9,33
Vacation home in Neptune Township,Boutique Ocean Grove & Asbury Park Sea View Gem!!,New-Jersey,117,19466,19471,4/19/2023,4/24/2023,349,500,"$500 $349 night$349 per night, originally $500",4.9,30
Place to stay in Lambertville,Quaint Cottage in Lambertville,New-Jersey,140,19471,19476,4/24/2023,4/29/2023,179,179,$179 night$179 per night,4.9,329
Home in Surf City,"Cozy beach house, steps from the bay and ocean",New-Jersey,116,19477,19482,4/30/2023,5/5/2023,240,240,$240 night$240 per night,4.9,11
Home in Lambertville,"Charming Vintage House, Great Location w/Parking",New-Jersey,171,19491,19496,5/14/2023,5/19/2023,301,301,$301 night$301 per night,4.9,97
Home in Spring Lake,On Golden Pond,New-Jersey,223,19467,19474,4/20/2023,4/27/2023,980,980,$980 night$980 per night,4.9,45
Townhouse in Seaside Heights,3BR 2BA One-Block Walk to Seaside Hgts Boardwalk,New-Jersey,165,19476,19481,4/29/2023,5/4/2023,225,225,$225 night$225 per night,4.8,110
Vacation home in Manasquan,Sunny Beach House with Ocean View,New-Jersey,123,19570,19575,8/1/2023,8/6/2023,704,704,$704 night$704 per night,4.9,15
Home in Berlin,100% Private Fits 1 to 9 Guests,New-Mexico,178,19470,19475,4/23/2023,4/28/2023,81,81,"BZ$222 BZD BZ$162 BZD nightBZ$162 BZD per night, originally BZ$222 BZD",4.8,41
Private room in Seaside Heights,Ortley Beach,New-Mexico,234,19484,19490,5/7/2023,5/13/2023,60.5,60.5,BZ$121 BZD nightBZ$121 BZD per night,4.8,321
Private room in Beachwood,"Almost ""down by the river side"" (green room)",New-Mexico,134,19475,19482,4/28/2023,5/5/2023,78.5,78.5,BZ$157 BZD nightBZ$157 BZD per night,4.9,181
Private room in New Brunswick,Rm #3 Lg Private Rm by Rutgers+NYC + Jersey Shore,New-Mexico,146,19474,19479,4/27/2023,5/2/2023,63.5,63.5,BZ$127 BZD nightBZ$127 BZD per night,4.9,665
Cottage in Lake Como,Sea Glass & Lavender Cottage,New-Mexico,236,19485,19491,5/8/2023,5/14/2023,120.5,120.5,"BZ$322 BZD BZ$241 BZD nightBZ$241 BZD per night, originally BZ$322 BZD",4.9,70
Home in Barnegat Light,2 Night Minimum LBI Barnegat Light NJ 2 BR 1 B,New-Mexico,257,19470,19477,4/23/2023,4/30/2023,162.5,162.5,"BZ$402 BZD BZ$325 BZD nightBZ$325 BZD per night, originally BZ$402 BZD",4.9,205
Home in Ewing Township,Cozy 2-bedroom home on quiet dead end street,New-Mexico,288,19471,19476,4/24/2023,4/29/2023,117.5,117.5,BZ$235 BZD nightBZ$235 BZD per night,4.8,110
Condo in Hopewell,Private apartment in 1890’s chocolate factory.,New-Mexico,153,19484,19489,5/7/2023,5/12/2023,202,202,BZ$404 BZD nightBZ$404 BZD per night,4.8,82
Apartment in Langhorne,Glamorous Marilyn Monroe Suite in Bucks County,New-Mexico,182,19466,19471,4/19/2023,4/24/2023,233.5,233.5,BZ$467 BZD nightBZ$467 BZD per night,5,18
Home in Monroe Township,Experience the perfect blend of nature & comfort!,New-Mexico,108,19490,19495,5/13/2023,5/18/2023,137,137,BZ$274 BZD nightBZ$274 BZD per night,4.9,68
Home in Seaside Heights,Comfortable Trendy seaside home,New-Mexico,701,19470,19475,4/23/2023,4/28/2023,143.5,143.5,BZ$287 BZD nightBZ$287 BZD per night,5,14
Private room in Asbury Park,Large private bedroom in Asbury Park,New-Mexico,216,19470,19475,4/23/2023,4/28/2023,69.5,69.5,BZ$139 BZD nightBZ$139 BZD per night,4.9,61
Condo in Matawan,"1 Bedroom,1 Bath,1 Full Kit,1 Liv Rm Furnished 311",New-Mexico,214,19484,19489,5/7/2023,5/12/2023,117,117,BZ$234 BZD nightBZ$234 BZD per night,4.8,85
Condo in Long Beach Township,Cozy LBI Studio close to the beach.,New-Mexico,211,19470,19475,4/23/2023,4/28/2023,128,128,BZ$256 BZD nightBZ$256 BZD per night,4.9,412
Cabin in Medford,Medford Lake! Pine Barrens Lakefront Beach Resort!,New-Mexico,234,19470,19475,4/23/2023,4/28/2023,415,415,BZ$830 BZD nightBZ$830 BZD per night,5,20
Private room in Red Bank,Red Bank ~ a cool little town at the Jersey Shore,New-Mexico,151,19515,19520,6/7/2023,6/12/2023,110.5,110.5,BZ$221 BZD nightBZ$221 BZD per night,4.9,242
Guesthouse in Lawrence Township,Adorable studio cottage near Princeton,New-Mexico,156,19476,19481,4/29/2023,5/4/2023,134,134,BZ$268 BZD nightBZ$268 BZD per night,4.8,93
Home in Little Egg Harbor Township,Blue Lagoon Retreat w/ Dock & Water Toys!,New-Mexico,124,19470,19475,4/23/2023,4/28/2023,186.5,186.5,"BZ$414 BZD BZ$373 BZD nightBZ$373 BZD per night, originally BZ$414 BZD",4.9,46
Home in Red Bank,Quiet 2 bedroom with resort setting,New-Mexico,140,19471,19476,4/24/2023,4/29/2023,150,150,$150 night$150 per night,4.9,43
Home in Neptune Township,The Stockton - Victorian Ocean Grove near Asbury,New-Mexico,237,19474,19480,4/27/2023,5/3/2023,163,163,$163 night$163 per night,4.9,272
Vacation home in Asbury Park,Brand new vacation home near downtown,New-Mexico,227,19470,19475,4/23/2023,4/28/2023,164,164,$164 night$164 per night,4.9,42
Condo in Seaside Park,Cozy Seaside Park Condo,New-Mexico,151,19471,19476,4/24/2023,4/29/2023,85,100,"$100 $85 night$85 per night, originally $100",4.9,29
Cottage in Lavallette,Cute Cottage,New-Mexico,312,19491,19496,5/14/2023,5/19/2023,118,155,"$155 $118 night$118 per night, originally $155",4.9,91
Home in Hammonton,Sweetwater House on the Mullica River,New-Mexico,139,19466,19471,4/19/2023,4/24/2023,398,398,$398 night$398 per night,4.9,21
Bungalow in Lavallette,Ocean Beach III Shore Bungalow,New-Mexico,113,19466,19471,4/19/2023,4/24/2023,150,200,"$200 $150 night$150 per night, originally $200",4.9,53
Apartment in Wall Township,"Beautiful Apartment, near Marina & Beach in Belmar",New-Mexico,124,19468,19473,4/21/2023,4/26/2023,153,153,$153 night$153 per night,4.8,43
Home in Berkeley Township,Sunsets that never quit!,New-Mexico,309,19470,19475,4/23/2023,4/28/2023,195,250,"$250 $195 night$195 per night, originally $250",4.9,155
